Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,Unnamed: 28
Ronald Acuña Jr.,27.14,ve VE,R,R,"6' 0""",205,1997-12-18,6,159,159,159,157,0,0,0,0,0,0,0,0,157,157,2,0,0,8.2,"$17,000,000 ",All-Star
Ehire Adrianza,35.46,ve VE,B,R,"6' 1""",198,1989-08-21,11,5,2,5,3,0,0,0,0,0,3,0,0,0,0,0,3,0,-0.3,"$1,000,000 ",NAN
Ozzie Albies,28.08,cw CW,B,R,"5' 8""",165,1997-01-07,7,148,148,148,148,0,0,0,148,0,0,0,0,0,0,0,0,0,4.7,"$7,000,000 ",All-Star
Kolby Allard,27.49,us US,L,L,"6' 1""",195,1997-08-13,6,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,NAN,NAN
Nick Anderson,34.59,us US,R,R,"6' 4""",205,1990-07-05,4,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$875,000 ",NAN
Orlando Arcia,30.51,ve VE,R,R,"6' 0""",187,1994-08-04,8,139,136,139,139,0,0,0,0,0,139,0,0,0,0,0,2,0,1.6,"$2,300,000 ",All-Star
Jesse Chavez,41.46,us US,R,R,"6' 1""",180,1983-08-21,16,36,1,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$1,200,000 ",NAN
Yonny Chirinos,31.12,ve VE,R,R,"6' 2""",225,1993-12-26,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,NAN,NAN
Charlie Culberson,35.83,us US,R,R,"6' 1""",200,1989-04-10,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,NAN,NAN
Travis d'Arnaud,35.99,us US,R,R,"6' 2""",210,1989-02-10,11,74,65,74,63,0,63,0,0,0,0,0,0,0,0,8,6,1,0.2,"$8,000,000 ",NAN
Dylan Dodd,26.67,us US,L,L,"6' 2""",210,1998-06-06,1st,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,NAN,NAN
